Country,Code
Turkiye,164
Spain,148
India,74
Guyana,69
Israel,79
Costa Rica,39
Russian Federation,133
Hungary,72
Jordan,83
Moldova,107
Brazil,22
Malta,102
"Bahamas, The",10
Ukraine,167
Switzerland,154
Norway,121
Finland,57
Comoros,36
Japan,82
Gabon,59
Ghana,63
Philippines,128
"Congo, Rep.",38
Madagascar,97
Estonia,53
Belize,16
Kazakhstan,84
Cameroon,29
Zimbabwe,178
Bhutan,18
South Africa,147
Eritrea,52
Germany,62
Saudi Arabia,137
Kiribati,86
Seychelles,140
Singapore,142
Togo,160
Denmark,45
"Gambia, The",60
Sweden,153
Austria,8
Kyrgyz Republic,88
Grenada,65
Brunei Darussalam,23
Greece,64
Uruguay,171
Croatia,41
Romania,132
Central African Republic,31
Algeria,2
"Yemen, Rep.",176
Armenia,6
St. Vincent and the Grenadines,151
Kenya,85
"Micronesia, Fed. Sts.",106
Antigua and Barbuda,4
Nepal,114
Lithuania,95
Vanuatu,173
Afghanistan,0
Kuwait,87
Argentina,5
Panama,124
Oman,122
France,58
Bosnia and Herzegovina,20
Mauritania,103
Somalia,146
Azerbaijan,9
Maldives,100
Guinea-Bissau,68
Solomon Islands,145
"Congo, Dem. Rep.",37
Namibia,113
Eswatini,54
Nigeria,119
United Arab Emirates,168
Burundi,26
Tajikistan,156
Honduras,71
Colombia,35
Iceland,73
Morocco,110
Pakistan,123
Bolivia,19
Cambodia,28
Malaysia,99
Dominican Republic,47
Italy,80
Vietnam,175
Albania,1
Czechia,44
Tonga,161
Slovenia,144
Zambia,177
"Egypt, Arab Rep.",49
Papua New Guinea,125
Ireland,78
Chile,33
Syrian Arab Republic,155
Serbia,139
Belgium,15
Cuba,42
Trinidad and Tobago,162
Botswana,21
Paraguay,126
Malawi,98
Montenegro,109
Timor-Leste,159
Chad,32
Sierra Leone,141
Mali,101
Bangladesh,12
Latvia,90
Angola,3
Jamaica,81
China,34
Tanzania,157
Ecuador,48
Djibouti,46
Cote d'Ivoire,40
Nicaragua,117
Iraq,77
Myanmar,112
Bahrain,11
Cabo Verde,27
Uganda,166
St. Lucia,150
Belarus,14
Senegal,138
Mongolia,108
Haiti,70
Niger,118
Slovak Republic,143
Tunisia,163
Thailand,158
Samoa,135
Libya,94
Bulgaria,24
Netherlands,115
Liberia,93
Ethiopia,55
Benin,17
New Zealand,116
Rwanda,134
Sao Tome and Principe,136
Guatemala,66
Cyprus,43
"Venezuela, RB",174
Portugal,130
Equatorial Guinea,51
"Iran, Islamic Rep.",76
Lao PDR,89
Mexico,105
Lebanon,91
Turkmenistan,165
Indonesia,75
United States,170
Peru,127
Mozambique,111
United Kingdom,169
Luxembourg,96
Sri Lanka,149
Uzbekistan,172
Lesotho,92
Guinea,67
Poland,129
Canada,30
Suriname,152
Mauritius,104
Barbados,13
El Salvador,50
Burkina Faso,25
Qatar,131
Fiji,56
Australia,7
North Macedonia,120
Georgia,61
